id,商品名,基準価格,並べ替えキー,サブカテゴリ,カテゴリ
1303,水,110,d-1,水,食材
1304,牛乳,130,d-2,牛乳,食材
1543,いちご,150,f-1,いちご,食材
1545,バナナ,70,f-2,バナナ,食材
1548,ぶどう,160,f-3,ぶどう,食材
1542,メロン,200,f-4,メロン,食材
1544,りんご,90,f-5,りんご,食材
1541,卵,60,m-1,卵,食材
1302,牛肉,220,m-2,牛肉,食材
1301,豚肉,130,m-3,豚肉,食材
1300,鶏肉,100,m-4,鶏肉,食材
1307,しょうゆ,70,t-1,しょうゆ,食材
1562,ゼラチン,60,t-2,ゼラチン,食材
1305,塩,40,t-3,塩,食材
1306,砂糖,70,t-4,砂糖,食材
1296,かぼちゃ,120,v-1,かぼちゃ,食材
1299,じゃがいも,70,v-2,じゃがいも,食材
1297,たまねぎ,60,v-3,たまねぎ,食材
1298,にんじん,60,v-4,にんじん,食材
1334,LED,60,e-1,LED,電子部品
1327,アルコール,70,p-1,アルコール,薬剤
1322,アロエ,90,h-2,アロエ,薬草
1325,カモミール,110,h-3,カモミール,薬草
1313,ガラス,100,c-1,ガラス,工作材料
1311,ゴム,70,c-2,ゴム,工作材料
1333,コンデンサ,50,e-2,コンデンサ,電子部品
1326,しょうが,80,h-1,しょうが,薬草
3855,スイカ,180,f-7,スイカ,食材
1336,センサー,140,e-3,センサー,電子部品
1310,ネジ,40,c-3,ネジ,工作材料
1323,ハッカ,70,h-4,ハッカ,薬草
1319,フェルト,70,s-1,フェルト,手芸材料
1312,プラスチック,60,c-4,プラスチック,工作材料
1317,ボタン,30,s-2,ボタン,手芸材料
3854,みかん,70,f-6,みかん,食材
1335,モーター,180,e-4,モーター,電子部品
1324,ラベンダー,120,h-5,ラベンダー,薬草
1318,リボン,50,s-3,リボン,手芸材料
1329,包帯,60,p-2,包帯,薬剤
1337,基板,160,e-5,基板,電子部品
1314,塗料,120,c-5,塗料,工作材料
1315,布,90,s-4,布,手芸材料
1332,抵抗器,40,e-6,抵抗器,電子部品
1308,木材,90,c-6,木材,工作材料
1320,毛糸,100,s-5,毛糸,手芸材料
1328,消毒液,90,p-3,消毒液,薬剤
1316,糸,40,s-6,糸,手芸材料
1331,軟膏,110,p-4,軟膏,薬剤
1309,金属板,140,c-7,金属板,工作材料
1321,針,35,s-7,針,手芸材料
1330,錠剤,140,p-5,錠剤,薬剤
